listing_id,x,y,w,h,image,tilt,tilt_back
1863284009,853,381,975,799,5,0.0,0
4347273296,601,537,1063,1232,5,-45.0,0
1858558633,501,574,1244,1415,1,-45.0,0
4328546006,635,618,985,1104,6,-40.0,0
1882605049,618,525,1043,1173,5,-44.0,0
4333147924,591,554,1063,1060,3,-34.0,0
1796473638,1014,608,855,970,3,-35.9,0
1861983874,530,491,1092,1188,5,-45.0,0
1873237315,532,378,1034,1048,4,1.1,0
1842339560,550,554,1212,1393,1,-45.0,0
4329603866,603,611,1097,1249,4,-29.5,0
4329098307,914,630,994,1114,1,-45.0,0
1738772906,312,520,1300,1322,1,-20.2,0
1803076530,249,606,1085,1329,5,1.0,0
1883106261,860,542,1051,1283,1,3.1,0
1774617902,1019,596,848,1029,6,-45.0,0
4321251586,557,623,1102,1283,3,-31.5,0
1861685575,508,437,900,1126,3,-14.3,0
1817839499,682,963,938,1097,5,-39.6,0
1875249568,662,638,1002,1151,6,-45.0,0
